scenario,test_accuracy_mean,test_accuracy_std,test_accuracy_count,test_macro_f1_mean,test_macro_f1_std,test_macro_f1_count,test_weighted_f1_mean,test_weighted_f1_std,test_weighted_f1_count,test_min_class_f1_mean,test_min_class_f1_std,test_min_class_f1_count,test_loss_mean,test_loss_std,test_loss_count
centralized,0.7863777777777778,0.004146878939428055,5,0.7502121208776105,0.005384765587594333,5,0.788842964452223,0.004897351300181153,5,0.3438474837193461,0.020246503627329524,5,,,0
veritrust_mamdani,0.7404777777777778,0.00552597681438192,5,0.698436367917896,0.010905578267689368,5,0.7492939723818317,0.007402105700094104,5,0.27661926001024056,0.05461424541488569,5,0.7154773532443577,0.01587388363866381,5
veritrust,0.7409333333333333,0.0023065259002220187,5,0.6968939599742442,0.009533814724268059,5,0.7486164220444653,0.0038667317323273402,5,0.26852383633075133,0.04121056231099772,5,0.7155086493598091,0.013626764198470184,5
fedavg,0.7430222222222223,0.009465059201030553,5,0.6910631577042494,0.009158941746259695,5,0.746296635608779,0.008028730462766882,5,0.20080943576920535,0.042080918670403825,5,0.7192659356011285,0.03345747221161632,5
bulyan,0.6781111111111111,0.03860907268799861,5,0.6488961285078458,0.04285386972013121,5,0.6902679406169618,0.04043802449854296,5,0.23899364162207193,0.03657697214475262,5,0.8966573459201388,0.09620746761218468,5
krum,0.6773222222222223,0.019595815564918986,5,0.6481924189355578,0.020156464150419624,5,0.690150607272272,0.0224529766446822,5,0.23319417377504773,0.025907592061848204,5,0.909560686577691,0.09034627673413154,5
fedmedian,0.6625,0.009727141612550807,5,0.6326663118559693,0.010882409796475399,5,0.6764504298667136,0.00736504358995197,5,0.21263321336950902,0.025834762373425267,5,0.9251479804144965,0.032014922165521126,5
trimmed_mean,0.6489888888888888,0.011018460939781103,5,0.6205601334973471,0.018231116095406622,5,0.6643447987741604,0.011835689946125195,5,0.20730550187339675,0.028396211571641503,5,0.9594616956922744,0.031805043974404264,5
foolsgold,0.6342333333333333,0.01192410412816236,5,0.5999736216276388,0.017711815946831695,5,0.6448271025303374,0.01166736086242471,5,0.2015653581547535,0.029461930798576282,5,1.0252603285047743,0.05609497795758483,5
fedavg_attack,0.6327666666666667,0.013455768876187778,5,0.5994951944937897,0.01741157963445185,5,0.6445641562784258,0.011519903018428689,5,0.20271360057428267,0.024943989757611758,5,1.0307152723524304,0.04156930219806354,5
he_only,0.6315222222222222,0.011957847776953459,5,0.5979902448145213,0.016182671002415622,5,0.6426255222000649,0.00996820810624379,5,0.19794451143804187,0.027518290421588848,5,1.0321784125434026,0.04699780506759968,5
