scenario,Backdoor,DDoS_HTTP,DDoS_ICMP,DDoS_TCP,DDoS_UDP,Fingerprinting,MITM,Normal,Password,Port_Scanning,Ransomware,SQL_injection,Uploading,Vulnerability_scanner,XSS
bulyan,0.8315,0.5559,0.9733,0.7942,0.9752,0.369,0.5538,0.6709,0.259,0.838,0.7988,0.5213,0.3824,0.853,0.357
centralized,0.9176,0.64,0.9865,0.9053,0.9896,0.6946,0.5816,0.8918,0.3438,0.9092,0.8884,0.6059,0.5289,0.8895,0.4804
fedavg,0.8841,0.6041,0.9807,0.8713,0.9829,0.3548,0.5667,0.8305,0.2008,0.8993,0.8587,0.5636,0.4487,0.8733,0.4464
fedavg_attack,0.8047,0.5223,0.9576,0.7232,0.9678,0.2568,0.5332,0.6154,0.2491,0.6513,0.7814,0.4568,0.3606,0.8348,0.2773
fedmedian,0.8235,0.543,0.9633,0.8187,0.9718,0.2594,0.5515,0.6229,0.2517,0.8184,0.7979,0.5161,0.3723,0.8493,0.3301
foolsgold,0.8017,0.5134,0.9569,0.7249,0.9658,0.259,0.5308,0.6137,0.2459,0.6489,0.7864,0.4677,0.3715,0.8392,0.2737
he_only,0.802,0.518,0.9564,0.7207,0.9665,0.2592,0.5324,0.6117,0.2533,0.6526,0.7878,0.4451,0.3603,0.8335,0.2703
krum,0.8385,0.5509,0.9678,0.8293,0.972,0.3372,0.5514,0.657,0.2412,0.8627,0.8038,0.522,0.3869,0.8457,0.3565
trimmed_mean,0.817,0.5296,0.9604,0.7732,0.9704,0.251,0.5421,0.6089,0.2567,0.7656,0.7925,0.5057,0.3706,0.8483,0.3163
veritrust,0.8782,0.6077,0.9741,0.8732,0.9759,0.3924,0.5656,0.8219,0.2685,0.9001,0.8558,0.5663,0.4602,0.8756,0.438
veritrust_mamdani,0.8813,0.6115,0.9763,0.8768,0.9773,0.3978,0.5639,0.8142,0.2859,0.9006,0.8555,0.5748,0.4535,0.8756,0.4315
