scenario,test_accuracy_mean,test_accuracy_std,test_accuracy_count,test_macro_f1_mean,test_macro_f1_std,test_macro_f1_count,test_weighted_f1_mean,test_weighted_f1_std,test_weighted_f1_count,test_min_class_f1_mean,test_min_class_f1_std,test_min_class_f1_count,test_loss_mean,test_loss_std,test_loss_count
centralized,0.7774508627516858,0.0005914098622386036,5,0.7463684058250174,0.0007215321947621159,5,0.7776661147747052,0.000710524331623102,5,0.5275646911979168,0.004612671362469678,5,,,0
fedavg,0.7299863207660371,0.004685930413634998,5,0.6970740302800941,0.007397050631401141,5,0.7345493851546296,0.00391054040141429,5,0.43568899244599546,0.033194709034038386,5,0.6770049799086252,0.012120525272285245,5
veritrust,0.7294103530202308,0.00491642796577323,5,0.6953309800358725,0.006703482205880766,5,0.7326490100719534,0.0046307317997290875,5,0.4379175950195663,0.030827796549000714,5,0.6953344573641376,0.03682844119524213,5
veritrust_mamdani,0.7287095922628333,0.005566358814843138,5,0.69422516663449,0.006558613221774992,5,0.7318518863648743,0.004534217034115063,5,0.4336796194477565,0.02741276765158452,5,0.6969673667024647,0.03403383278399178,5
krum,0.7029542345628645,0.016522204145397314,5,0.6650478339469902,0.021729840854501824,5,0.7068166012944535,0.015812266970569703,5,0.36818750174889137,0.0906677838982234,5,0.8364293951101238,0.14407073419660907,5
fedmedian,0.6995176270128873,0.014442201006178849,5,0.6614043688181446,0.01598774962857359,5,0.7023631284212123,0.014898259425055141,5,0.3786425364338174,0.03490315108351892,5,0.8603134997877617,0.10702550846456974,5
trimmed_mean,0.6976553313014471,0.016841796209054904,5,0.6591953336950204,0.01725216494032184,5,0.700246892799431,0.015916560190271004,5,0.37880888209686236,0.036338813082247165,5,0.8779841977286772,0.10806608142438782,5
foolsgold,0.6927500059996641,0.016025536334218646,5,0.6531213458094932,0.01803295437992673,5,0.6927660800350071,0.018636267262416253,5,0.38674733484432544,0.03312471784816474,5,0.8982170006292147,0.09264081804699284,5
bulyan,0.688315054356956,0.022355386414529874,5,0.6526115120948367,0.021761907710796904,5,0.692559553054758,0.02071494949209924,5,0.382845967304226,0.050665960563855396,5,0.8354410301460617,0.09118044988347657,5
he_only,0.692001247930116,0.017265169255626395,5,0.6520238125930792,0.02031526539790963,5,0.6921046826300621,0.020183652879991156,5,0.3736205106052145,0.044328963865462895,5,0.8889767915184249,0.06944441659376567,5
fedavg_attack,0.6919388514243202,0.016391535362042246,5,0.6518772744474283,0.019281642435944792,5,0.691647844053963,0.019428676340714265,5,0.3794632123531793,0.0476116758120237,5,0.8879499232417984,0.08513945355011027,5
