scenario,Benign,BruteForce,DDoS,DoS,Mirai,Recon,Spoofing,Web
bulyan,0.5887,0.3858,0.8306,0.8494,0.9924,0.4939,0.6834,0.3965
centralized,0.6838,0.5476,0.8682,0.8755,0.9983,0.6253,0.8447,0.5276
fedavg,0.6448,0.4409,0.8644,0.8642,0.9978,0.5745,0.7228,0.4673
fedavg_attack,0.5744,0.3943,0.8301,0.8451,0.9958,0.5107,0.6819,0.3827
fedmedian,0.5913,0.3841,0.8484,0.8572,0.9963,0.5173,0.6912,0.4054
foolsgold,0.5805,0.393,0.8246,0.8444,0.9958,0.512,0.684,0.3908
he_only,0.5752,0.3882,0.8243,0.8465,0.9957,0.5142,0.6838,0.3882
krum,0.6141,0.3682,0.8395,0.8514,0.9965,0.5242,0.6977,0.4288
trimmed_mean,0.5904,0.382,0.8387,0.8533,0.9962,0.5169,0.6947,0.4013
veritrust,0.6459,0.4424,0.8616,0.8639,0.9971,0.567,0.7221,0.4627
veritrust_mamdani,0.6442,0.4389,0.862,0.8656,0.9974,0.565,0.7206,0.4601
