param,value,scenario,macro_f1,macro_f1_std,min_class_f1,n_seeds,malicious_rejected,honest_rejected
dirichlet_alpha,0.1,fedavg_attack,0.5094,0.0436,0.0,2,0.0,0.0
dirichlet_alpha,0.3,fedavg_attack,0.6019,0.0403,0.2241,2,0.0,0.0
dirichlet_alpha,0.5,fedavg_attack,0.6476,0.0025,0.4116,2,0.0,0.0
dirichlet_alpha,1.0,fedavg_attack,0.6857,0.0075,0.4401,2,0.0,0.0
dirichlet_alpha,5.0,fedavg_attack,0.6872,0.0017,0.411,2,0.0,0.0
dirichlet_alpha,0.1,veritrust,0.579,0.0133,0.0961,2,0.9889,0.0619
dirichlet_alpha,0.3,veritrust,0.6734,0.0024,0.3901,2,1.0,0.0143
dirichlet_alpha,0.5,veritrust,0.6887,0.011,0.444,2,1.0,0.0
dirichlet_alpha,1.0,veritrust,0.6997,0.0034,0.4536,2,1.0,0.0
dirichlet_alpha,5.0,veritrust,0.6986,0.0005,0.4307,2,1.0,0.0
dp_sigma,0.0,veritrust,0.6887,0.0061,0.4469,2,1.0,0.0
dp_sigma,0.0005,veritrust,0.6842,0.0058,0.4391,2,1.0,0.0
dp_sigma,0.001,veritrust,0.6878,0.0097,0.4419,2,1.0,0.0
dp_sigma,0.002,veritrust,0.6869,0.0088,0.4514,2,1.0,0.0
dp_sigma,0.005,veritrust,0.6947,0.0018,0.4583,2,0.9,0.0667
dp_sigma,0.02,veritrust,0.681,0.0023,0.4204,2,0.6111,0.2429
ema_alpha,0.2,veritrust,0.6842,0.0051,0.439,2,1.0,0.0
ema_alpha,0.4,veritrust,0.6874,0.0084,0.4432,2,1.0,0.0
ema_alpha,0.6,veritrust,0.6881,0.0079,0.4452,2,1.0,0.0
ema_alpha,0.8,veritrust,0.6891,0.0068,0.4468,2,1.0,0.019
ema_alpha,1.0,veritrust,0.6891,0.0071,0.45,2,1.0,0.0048
ema_alpha_30r,0.2,veritrust,0.6925,0.0116,0.4354,2,1.0,0.0071
ema_alpha_30r,0.4,veritrust,0.6934,0.0091,0.4473,2,1.0,0.0
ema_alpha_30r,0.6,veritrust,0.694,0.0076,0.4405,2,1.0,0.0429
ema_alpha_30r,0.8,veritrust,0.6949,0.0091,0.4432,2,1.0,0.0452
ema_alpha_30r,1.0,veritrust,0.6969,0.0009,0.4695,2,1.0,0.0857
evidence_alpha,0.2,veritrust,0.6852,0.0043,0.4405,2,1.0,0.0
evidence_alpha,0.4,veritrust,0.6853,0.0037,0.4429,2,1.0,0.0
evidence_alpha,0.6,veritrust,0.6875,0.009,0.4396,2,1.0,0.0
evidence_alpha,0.8,veritrust,0.6883,0.0067,0.4442,2,1.0,0.0
evidence_alpha,1.0,veritrust,0.6896,0.0026,0.4384,2,1.0,0.0286
evidence_alpha_30r,0.2,veritrust,0.6944,0.0113,0.45,2,1.0,0.0
evidence_alpha_30r,0.4,veritrust,0.6977,0.0036,0.4533,2,0.9944,0.0571
evidence_alpha_30r,0.6,veritrust,0.6924,0.0052,0.4414,2,0.9889,0.0738
evidence_alpha_30r,0.8,veritrust,0.6931,0.008,0.4389,2,0.9111,0.1381
evidence_alpha_30r,1.0,veritrust,0.6968,0.0009,0.4665,2,0.9722,0.1238
evidence_z0,1.0,veritrust,0.6881,0.0079,0.4382,2,1.0,0.0
evidence_z0,1.5,veritrust,0.6862,0.0101,0.4401,2,1.0,0.0
evidence_z0,2.0,veritrust,0.6899,0.0071,0.4444,2,1.0,0.0048
evidence_z0,3.0,veritrust,0.6868,0.0094,0.4386,2,1.0,0.0
evidence_z0,4.0,veritrust,0.6875,0.0106,0.4436,2,1.0,0.0
evidence_z0_30r,1.0,veritrust,0.6991,0.0038,0.4593,2,1.0,0.0286
evidence_z0_30r,1.5,veritrust,0.6923,0.0068,0.4392,2,1.0,0.0381
evidence_z0_30r,2.0,veritrust,0.6919,0.0078,0.4393,2,1.0,0.0071
evidence_z0_30r,3.0,veritrust,0.6905,0.0091,0.4377,2,1.0,0.0524
evidence_z0_30r,4.0,veritrust,0.6923,0.0101,0.4442,2,1.0,0.0024
malicious_fraction,0.0,fedavg_attack,0.6887,0.006,0.4276,2,,0.0
malicious_fraction,0.1,fedavg_attack,0.6814,0.011,0.4326,2,0.0,0.0
malicious_fraction,0.2,fedavg_attack,0.6718,0.0223,0.4302,2,0.0,0.0
malicious_fraction,0.3,fedavg_attack,0.6476,0.0025,0.4116,2,0.0,0.0
malicious_fraction,0.4,fedavg_attack,0.5946,0.076,0.3763,2,0.0,0.0
malicious_fraction,0.5,fedavg_attack,0.219,0.043,0.0005,2,0.0,0.0
malicious_fraction,0.0,krum,0.6842,0.0061,0.4222,2,,0.0
malicious_fraction,0.1,krum,0.6841,0.0022,0.4381,2,0.0,0.0
malicious_fraction,0.2,krum,0.6702,0.0165,0.417,2,0.0,0.0
malicious_fraction,0.3,krum,0.6683,0.0161,0.4234,2,0.0,0.0
malicious_fraction,0.4,krum,0.6483,0.009,0.4017,2,0.0,0.0
malicious_fraction,0.5,krum,0.3497,0.4501,0.2167,2,0.0,0.0
malicious_fraction,0.0,veritrust,0.6918,0.0073,0.4396,2,,0.0
malicious_fraction,0.1,veritrust,0.6919,0.0112,0.4512,2,1.0,0.0
malicious_fraction,0.2,veritrust,0.6895,0.0146,0.4294,2,1.0,0.0
malicious_fraction,0.3,veritrust,0.6875,0.0104,0.4423,2,1.0,0.0
