scenario,test_accuracy_mean,test_accuracy_std,test_accuracy_count,test_macro_f1_mean,test_macro_f1_std,test_macro_f1_count,test_weighted_f1_mean,test_weighted_f1_std,test_weighted_f1_count,test_min_class_f1_mean,test_min_class_f1_std,test_min_class_f1_count,test_loss_mean,test_loss_std,test_loss_count
centralized,0.8988546603475515,0.0022747923780148767,5,0.8111636929996633,0.006510935967199748,5,0.8954247590059383,0.002897050250562693,5,0.5000923961764986,0.009038351707526019,5,,,0
fedavg,0.85989336492891,0.005711783295578911,5,0.7509076429126944,0.014106049007053884,5,0.8567821101007645,0.008037880267012243,5,0.42953512287152107,0.033022087845202094,5,0.46716979691202604,0.006287858371674304,5
veritrust,0.8599526066350711,0.012320993143327151,5,0.7460397829939273,0.023601099041816023,5,0.855971994502864,0.014730857689817014,5,0.43159720703820303,0.05196653984982566,5,0.4679453098001827,0.013440358023703917,5
veritrust_mamdani,0.8587677725118483,0.013611561794172031,5,0.7448260861746943,0.023807756430418353,5,0.8553005893271435,0.014436040290382007,5,0.42528870734622276,0.03810252669284709,5,0.47647259608264214,0.01900159169425463,5
krum,0.8390007898894154,0.024881379453720744,5,0.7143715144329292,0.03508716078114345,5,0.834626322108685,0.02393186953158607,5,0.32669552709625727,0.10865426496938356,5,0.520680060846169,0.03831822895371564,5
bulyan,0.8257306477093207,0.024792121216976996,5,0.6944640587326567,0.034417505544465335,5,0.8228796917638765,0.02269583081242625,5,0.3121820495751766,0.12681675966230743,5,0.544725559710703,0.05237604398222512,5
fedmedian,0.8271721958925751,0.02134216209897511,5,0.6898679646864052,0.02605534425973192,5,0.8245508484785387,0.02239531260550174,5,0.22005190252074316,0.1716732285103592,5,0.5658174584073855,0.054428130735286684,5
trimmed_mean,0.8219194312796209,0.02018153931007069,5,0.6845657592078158,0.021463084491651466,5,0.8199517369816831,0.020695871889859753,5,0.21192875286355659,0.16641858667790024,5,0.5749056317418295,0.064302016615515,5
foolsgold,0.8106635071090047,0.031925667591100076,5,0.6704228770893732,0.035300482345800396,5,0.8077435429503893,0.03247814955364023,5,0.19507659414624867,0.1521978168260318,5,0.6103823211332444,0.09734406713593416,5
fedavg_attack,0.8080963665086888,0.0291422799333921,5,0.6679129356404369,0.03355083200612511,5,0.8057764731296053,0.03080901903861612,5,0.20229809339488228,0.16618039241170035,5,0.6215766508997335,0.09158482753716043,5
he_only,0.8032187993680884,0.02808875041062495,5,0.6635274350321891,0.0315670537607277,5,0.8016890795787761,0.028813022971941434,5,0.1997772538895692,0.15861449663491567,5,0.6234845539593208,0.08463555850066985,5
