scenario,Backdoor,DDoS_HTTP,DDoS_ICMP,DDoS_TCP,DDoS_UDP,Fingerprinting,MITM,Normal,Password,Port_Scanning,Ransomware,SQL_injection,Uploading,Vulnerability_scanner,XSS
bulyan,0.4474,0.4035,0.9576,0.4353,0.9779,0.4757,0.9312,0.9991,0.4431,0.9013,0.5641,0.6757,0.706,0.8168,0.6822
centralized,0.6048,0.5001,0.9884,0.7671,0.9958,0.7596,1.0,1.0,0.6193,0.9198,0.7571,0.8587,0.7974,0.8705,0.7288
fedavg,0.4705,0.461,0.9703,0.6116,0.9836,0.6286,0.966,0.9996,0.4585,0.9099,0.7098,0.8188,0.7279,0.8471,0.7005
fedavg_attack,0.4267,0.356,0.9453,0.4023,0.9713,0.4447,0.9318,0.999,0.3877,0.8971,0.4827,0.6536,0.6864,0.788,0.646
fedmedian,0.4394,0.3956,0.9568,0.4288,0.9774,0.4396,0.9561,0.9995,0.444,0.9105,0.4934,0.7338,0.7059,0.8039,0.6634
foolsgold,0.4255,0.3525,0.9505,0.398,0.972,0.4558,0.9461,0.9992,0.3734,0.9046,0.483,0.674,0.6832,0.7943,0.6444
he_only,0.4248,0.3584,0.9416,0.3859,0.9679,0.4343,0.9264,0.999,0.396,0.8927,0.4803,0.637,0.68,0.7876,0.6409
krum,0.4487,0.4198,0.9663,0.4655,0.9831,0.5278,0.9312,0.9991,0.4436,0.898,0.6649,0.7216,0.7286,0.8217,0.6957
trimmed_mean,0.4401,0.3796,0.9553,0.4151,0.9753,0.436,0.9561,0.9994,0.44,0.9063,0.4813,0.712,0.6939,0.8071,0.6712
veritrust,0.4812,0.4756,0.9745,0.5689,0.9881,0.5668,0.9609,0.9995,0.4699,0.9107,0.7174,0.8146,0.7323,0.836,0.6941
veritrust_mamdani,0.4909,0.4691,0.9724,0.5702,0.9867,0.5568,0.9609,0.9995,0.4642,0.9057,0.6964,0.8097,0.7456,0.8401,0.7041
