attack,rows_read,distinct,duplicate_rate
DDoS-TCP_Flood,60000,35487,0.4085
DoS-TCP_Flood,60000,36392,0.3935
DDoS-SynonymousIP_Flood,60000,36775,0.3871
DDoS-UDP_Flood,60000,37577,0.3737
DDoS-ICMP_Flood,60000,40983,0.3169
DDoS-PSHACK_FLOOD,60000,41004,0.3166
DDoS-RSTFINFLOOD,60000,46250,0.2292
DoS-UDP_Flood,60000,47839,0.2027
DDoS-SYN_Flood,60000,48451,0.1925
MITM-ArpSpoofing,60000,55551,0.0742
DoS-SYN_Flood,60000,56403,0.0599
Recon-PortScan,60000,58786,0.0202
Recon-OSScan,60000,59149,0.0142
BrowserHijacking,5859,5788,0.0121
Mirai-greeth_flood,60000,59552,0.0075
DNS_Spoofing,60000,59555,0.0074
Mirai-udpplain,60000,59654,0.0058
Recon-HostDiscovery,60000,59711,0.0048
CommandInjection,5409,5388,0.0039
DoS-HTTP_Flood,60000,59789,0.0035
Mirai-greip_flood,60000,59845,0.0026
VulnerabilityScan,60000,59879,0.002
Benign_Final,60000,59902,0.0016
DDoS-UDP_Fragmentation,60000,59925,0.0012
Backdoor_Malware,3218,3215,0.0009
DDoS-ACK_Fragmentation,60000,59958,0.0007
DDoS-ICMP_Fragmentation,60000,59987,0.0002
DictionaryBruteForce,13064,13062,0.0002
DDoS-SlowLoris,23426,23426,0.0
DDoS-HTTP_Flood,28790,28790,0.0
Recon-PingSweep,2262,2262,0.0
SqlInjection,5245,5245,0.0
Uploading_Attack,1252,1252,0.0
XSS,3846,3846,0.0
